name,email,industry,message,label,rule_label,ai_label,final_label
Eve Wilson,eve.wilson0@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Frank Miller,frank.miller1@example.com,consulting,looking for information about your services,Warm,Warm,Warm,Warm
Grace Garcia,grace.garcia2@example.com,finance,please send me the proposal asap,Hot,Hot,Hot,Hot
Frank Wilson,frank.wilson3@example.com,marketing,maybe later still evaluating options,Warm,Cold,Warm,Warm
Diana Taylor,diana.taylor4@example.com,retail,maybe later still evaluating options,Warm,Cold,Warm,Warm
Diana Garcia,diana.garcia5@example.com,marketing,please send me the proposal asap,Hot,Hot,Hot,Hot
Alice Garcia,alice.garcia6@example.com,education,i need a quote for our project,Hot,Warm,Hot,Hot
Diana Miller,diana.miller7@example.com,marketing,no immediate plans to buy,Cold,Hot,Cold,Hot
Charlie Johnson,charlie.johnson8@example.com,retail,please send me the proposal asap,Hot,Hot,Hot,Hot
Frank Garcia,frank.garcia9@example.com,healthcare,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Hank Miller,hank.miller10@example.com,healthcare,i am just curious about your offerings,Cold,Cold,Cold,Cold
Jack Miller,jack.miller11@example.com,education,maybe later still evaluating options,Warm,Warm,Warm,Warm
Frank Taylor,frank.taylor12@example.com,consulting,im interested but need more details,Warm,Warm,Warm,Warm
Bob Taylor,bob.taylor13@example.com,education,can you share pricing information,Warm,Warm,Warm,Warm
Eve Miller,eve.miller14@example.com,tech,not looking for services currently,Cold,Warm,Cold,Warm
Diana Miller,diana.miller15@example.com,finance,i am just curious about your offerings,Cold,Cold,Cold,Cold
Grace Jones,grace.jones16@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Bob Williams,bob.williams17@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Diana Wilson,diana.wilson18@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Hank Williams,hank.williams19@example.com,healthcare,looking for information about your services,Warm,Warm,Warm,Warm
Hank Garcia,hank.garcia20@example.com,consulting,im interested but need more details,Warm,Warm,Warm,Warm
Hank Miller,hank.miller21@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Grace Davis,grace.davis22@example.com,education,looking for information about your services,Warm,Warm,Warm,Warm
Charlie Johnson,charlie.johnson23@example.com,education,im interested but need more details,Warm,Warm,Warm,Warm
Grace Brown,grace.brown24@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Grace Garcia,grace.garcia25@example.com,retail,not looking for services currently,Cold,Warm,Cold,Warm
Bob Miller,bob.miller26@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Hank Taylor,hank.taylor27@example.com,tech,we are ready to purchase now,Hot,Hot,Hot,Hot
Ivy Johnson,ivy.johnson28@example.com,education,could you send me a brochure,Warm,Warm,Warm,Warm
Diana Jones,diana.jones29@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Jack Davis,jack.davis30@example.com,tech,we are ready to purchase now,Hot,Hot,Hot,Hot
Ivy Jones,ivy.jones31@example.com,tech,not looking for services currently,Cold,Warm,Cold,Warm
Frank Smith,frank.smith32@example.com,healthcare,looking for information about your services,Warm,Warm,Warm,Warm
